CIS Control ID,AWS Control ID,Control Description,Remediation,auto/manual
2.3.1,RDS.3,RDS DB instances should have encryption at-rest enabled,Make a backup of RDS DB then encrypt the backup by creating a new KMS key. Delete the previous RDS DB. Create a new RDS DB with same name by using encrypted backup.,Automated
2.3.2,RDS.13,RDS automatic minor version upgrades should be enabled,Enable automatic minor version upgrades for RDS DB.,Automated
2.3.3,RDS.2,"RDS DB Instances should prohibit public access, as determined by the PubliclyAccessible configuration",Change PubliclyAccessible flag,Automated
2.4.1,EFS.1,Elastic File System should be configured to encrypt file data at-rest using AWS KMS,Create new encrypted file system (need manual data migration),Automated/Manual
3.1,CloudTrail.1,CloudTrail should be enabled and configured with at least one multi-Region trail that includes read and write management events,Create a multi-region CloudTrail,Automated
3.2,CloudTrail.4,CloudTrail log file validation should be enabled,Enable CloudTrail log file validation,Automated
3.3,Config.1,AWS Config should be enabled and use the service-linked role for resource recording,Print a message indicating that this control cannot be repaired automatically.,Manual
3.4,CloudTrail.7,Ensure S3 bucket access logging is enabled on the CloudTrail S3 bucket,"Create a new S3 bucket named ""accesslogbucket"" for log and enable access logging for CloudTrail's storage S3 buckets.",Automated
3.5,CloudTrail.2,CloudTrail should have encryption at-rest enabled,Enable KMS encryption for CloudTrail by creating a new KMS key.,Automated
3.6,KMS.4,AWS KMS key rotation should be enabled,Enable KMS key rotation.,Automated
3.7,EC2.6,VPC flow logging should be enabled in all VPCs,"Create an IAM role named ""CIS-Remediations-VPC-Log-Role"" for CloudWatch then create a CloudWatch log group to store VPC flow logs.",Automated
3.8,S3.22,S3 general purpose buckets should log object-level write events,"Create a S3 bucket to store logs and configure CloudTrail named ""cloudtrailforlogwrite"" to log object-level write operations.",Automated
3.9,S3.23,S3 general purpose buckets should log object-level read events,"Create a S3 bucket to store logs and configure CloudTrail named ""cloudtrailforlogread"" to log object-level write operations.",Automated
5.1,EC2.21,Network ACLs should not allow ingress from 0.0.0.0/0 to port 22 or port 3389,Remove the network ACL entry that allows all IPs (0.0.0.0/0) to access ports 22 and 3389.,Automated
5.2,EC2.53,EC2 security groups should not allow ingress from 0.0.0.0/0 to remote server administration ports,Remove the security group rule that allows all IPs (0.0.0.0/0) to access the management port.,Automated
5.3,EC2.54,EC2 security groups should not allow ingress from ::/0 to remote server administration ports,Remove the security group rule that allows all IPs (::/0) to access the management port.,Automated
5.4,EC2.2,VPC default security groups should not allow inbound or outbound traffic,Create a new non-default security group and copy the rules of the default security group. Then remove all inbound and outbound traffic from the default security group.,Automated
5.6,EC2.8,EC2 instances should use Instance Metadata Service Version 2 (IMDSv2),Enable EC2 instances to be updated to use IMDSv2.,Automated
,,Not monitoring in Secuirty Hub,,
1.1,Maintain current contact details ,,,
1.2,Ensure security contact information is registered ,,,
1.3,Ensure security questions are registered in the AWS account ,,,
1.7,Eliminate use of the 'root' user for administrative and daily tasks ,,,
1.11,Do not setup access keys during initial user setup for all IAM users that have a console password ,,,
1.13,Ensure there is only one active access key available for any single IAM user,,,
1.16,"Ensure IAM policies that allow full ""*:*"" administrative privileges are not attached",,,
1.18,Ensure IAM instance roles are used for AWS resource access from instances,,,
1.21,Ensure IAM users are managed centrally via identity federation or AWS Organizations for multi-account environments,,,
2.1.3,"Ensure all data in Amazon S3 has been discovered, classified and secured when required",,,
4.1,Ensure unauthorized API calls are monitored ,,,
4.2,Ensure management console sign-in without MFA is monitored ,,,
4.3,Ensure usage of 'root' account is monitored ,,,
4.4,Ensure IAM policy changes are monitored ,,,
4.5,Ensure CloudTrail configuration changes are monitored ,,,
4.6,Ensure AWS Management Console authentication failures are monitored ,,,
4.7,Ensure disabling or scheduled deletion of customer created CMKs is monitored ,,,
4.8,Ensure S3 bucket policy changes are monitored ,,,
4.9,Ensure AWS Config configuration changes are monitored ,,,
4.1,Ensure security group changes are monitored ,,,
4.11,Ensure Network Access Control Lists (NACL) changes are monitored,,,
4.12,Ensure changes to network gateways are monitored ,,,
4.13,Ensure route table changes are monitored ,,,
4.14,Ensure VPC changes are monitored ,,,
4.15,Ensure AWS Organizations changes are monitored ,,,
4.16,Ensure AWS Security Hub is enabled,,,
5.5,"Ensure routing tables for VPC peering are ""least access""",,,
